id,SwitchID,Date_n_Time,Status
1031,202A,"2020-08-10 18:20:51",Called
1032,202A,"2020-08-10 18:20:58",Attended
1033,202A,"2020-08-10 18:21:00",Called
1034,202A,"2020-08-10 18:21:01",Called
1035,202A,"2020-08-10 18:23:51",Called
1036,202B,"2020-08-10 18:24:00",Called
1037,201B,"2020-08-10 18:24:05",Called
1038,201A,"2020-08-10 18:24:27",Called
1039,207,"2020-08-10 18:24:34",Called
1040,201T,"2020-08-10 18:24:40",Called
1041,201T,"2020-08-10 18:27:32",Called
1042,201T,"2020-08-10 18:27:34",Attended
1043,201T,"2020-08-10 18:28:37",Called
1044,201T,"2020-08-10 18:28:51",Attended
1045,201T,"2020-08-10 18:30:43",Called
1046,201T,"2020-08-10 18:31:36",Attended
1047,201T,"2020-08-10 18:32:24",Called
1048,201T,"2020-08-10 18:36:35",Attended
1049,201T,"2020-08-10 18:36:42",Called
1050,201T,"2020-08-10 18:36:43",Called
1051,201T,"2020-08-10 18:36:49",Attended
1052,201T,"2020-08-10 18:36:54",Called
1053,201T,"2020-08-10 18:36:55",Called
1054,201T,"2020-08-10 18:50:27",Called
1055,201T,"2020-08-10 18:50:29",Attended
1056,201T,"2020-08-10 18:50:30",Called
1057,201T,"2020-08-10 18:50:32",Attended
1058,201T,"2020-08-10 18:50:34",Called
1059,201T,"2020-08-10 18:50:35",Attended
1060,201T,"2020-08-10 18:50:42",Called
1061,201T,"2020-08-10 18:53:10",Called
1062,201T,"2020-08-10 18:53:16",Attended
1063,201T,"2020-08-10 18:54:27",Attended
1064,201T,"2020-08-10 18:54:28",Attended
1065,201T,"2020-08-10 18:54:32",Called
1066,201T,"2020-08-10 18:54:38",Attended
1067,201T,"2020-08-10 18:54:45",Called
1068,201T,"2020-08-10 18:54:46",Called
1069,201T,"2020-08-10 18:54:53",Attended
1070,201A,"2020-08-10 18:55:01",Called
1071,201T,"2020-08-10 18:55:07",Called
1072,201T,"2020-08-10 18:55:51",Called
1073,201T,"2020-08-10 18:55:55",Attended
1074,201T,"2020-08-10 18:57:05",Called
1075,201A,"2020-08-10 18:57:10",Called
1076,201A,"2020-08-10 18:58:14",Attended
1077,201T,"2020-08-10 18:58:17",Attended
1078,201A,"2020-08-10 18:58:20",Called
1079,201T,"2020-08-10 18:58:25",Called
1080,201A,"2020-08-10 18:59:32",Attended
1081,201T,"2020-08-10 18:59:37",Attended
1082,201A,"2020-08-10 18:59:46",Attended
1083,201A,"2020-08-10 19:00:24",Called
1084,201T,"2020-08-10 19:00:39",Called
1085,201T,"2020-08-10 19:02:40",Attended
1086,201T,"2020-08-10 19:02:41",Called
1087,201T,"2020-08-10 19:02:42",Attended
1088,201T,"2020-08-10 19:03:01",Called
1089,201T,"2020-08-10 19:03:43",Attended
1090,201T,"2020-08-10 19:04:11",Called
1091,201T,"2020-08-10 19:04:13",Attended
1092,201T,"2020-08-10 19:04:23",Called
1093,201T,"2020-08-10 19:04:24",Attended
1094,201T,"2020-08-10 19:05:47",Called
1095,201T,"2020-08-10 19:05:48",Attended
1096,201T,"2020-08-10 19:05:49",Called
1097,201T,"2020-08-10 19:05:49",Attended
1098,201T,"2020-08-10 19:05:50",Called
1099,201T,"2020-08-10 19:05:50",Attended
1100,201T,"2020-08-10 19:05:51",Called
1101,201T,"2020-08-10 19:05:58",Attended
1102,201T,"2020-08-10 19:06:13",Called
1103,201T,"2020-08-10 19:06:16",Attended
1104,201T,"2020-08-10 19:06:32",Called
1105,201T,"2020-08-10 19:06:36",Attended
1106,201T,"2020-08-10 19:06:39",Called
1107,201T,"2020-08-10 19:06:40",Called
1108,201T,"2020-08-10 19:06:42",Attended
1109,201A,"2020-08-10 19:07:53",Called
1110,201T,"2020-08-10 19:08:03",Called
1111,201T,"2020-08-10 19:12:20",Attended
1112,201A,"2020-08-10 19:12:32",Called
1113,201T,"2020-08-10 19:12:40",Called
1114,201T,"2020-08-10 19:12:41",Called
1115,201T,"2020-08-10 19:14:39",Attended
1116,201T,"2020-08-10 19:15:02",Called
1117,201T,"2020-08-10 19:15:03",Called
1118,201T,"2020-08-10 19:15:46",Attended
1119,201T,"2020-08-10 19:16:24",Called
1120,201A,"2020-08-10 19:16:33",Called
1121,201T,"2020-08-10 19:18:28",Attended
1122,201T,"2020-08-10 19:18:34",Called
1123,201A,"2020-08-10 19:19:10",Called
1124,201T,"2020-08-10 19:21:59",Attended
1125,201A,"2020-08-10 19:24:47",Called
1126,201T,"2020-08-10 19:24:55",Called
1127,201T,"2020-08-10 19:25:55",Attended
1128,201T,"2020-08-10 19:25:57",Called
1129,201A,"2020-08-10 19:26:17",Called
1130,201T,"2020-08-10 19:26:59",Attended
1131,201T,"2020-08-10 19:27:10",Called
1132,201A,"2020-08-10 19:27:25",Called
1133,201T,"2020-08-10 19:28:01",Attended
1134,201T,"2020-08-10 19:28:02",Called
1135,201A,"2020-08-10 19:28:32",Called
1136,201A,"2020-08-10 19:29:31",Called
1137,201T,"2020-08-10 19:34:13",Attended
1138,201T,"2020-08-10 19:34:18",Called
1139,201T,"2020-08-10 19:34:39",Called
1140,201T,"2020-08-10 19:35:26",Called
1141,201T,"2020-08-10 19:39:44",Called
1142,201A,"2020-08-10 19:40:24",Called
1143,201T,"2020-08-10 19:43:08",Called
1144,201T,"2020-08-10 19:43:51",Attended
1145,201T,"2020-08-10 19:43:52",Attended
1146,201T,"2020-08-10 19:43:56",Called
1147,201T,"2020-08-10 19:46:17",Attended
1148,201T,"2020-08-10 19:46:24",Called
1149,201T,"2020-08-10 19:46:47",Attended
1150,201T,"2020-08-10 19:46:48",Attended
1151,201T,"2020-08-10 19:47:11",Called
1152,201T,"2020-08-10 19:47:13",Attended
1153,201T,"2020-08-10 19:49:09",Called
1154,201T,"2020-08-10 19:49:12",Attended
1155,201T,"2020-08-10 19:49:31",Called
1156,201T,"2020-08-10 19:49:32",Called
1157,201T,"2020-08-10 19:49:34",Attended
1158,201T,"2020-08-10 19:49:36",Called
1159,201T,"2020-08-10 19:49:37",Attended
1160,201A,"2020-08-10 19:50:04",Called
1161,201A,"2020-08-10 19:50:11",Called
1162,201T,"2020-08-10 20:02:12",Attended
1163,201T,"2020-08-10 20:02:15",Called
1164,201T,"2020-08-10 20:02:16",Called
1165,201T,"2020-08-10 20:02:19",Attended
1166,201T,"2020-08-10 20:03:07",Called
1167,201T,"2020-08-10 20:03:11",Attended
1168,201T,"2020-08-10 20:03:18",Called
1169,201T,"2020-08-10 20:05:37",Attended
1170,201T,"2020-08-10 20:07:01",Called
1171,201T,"2020-08-10 20:07:04",Attended
1172,201T,"2020-08-10 20:07:13",Called
1173,201T,"2020-08-10 20:07:28",Attended
1174,201T,"2020-08-10 20:07:30",Called
1175,201A,"2020-08-10 20:07:47",Called
1176,201T,"2020-08-10 20:08:08",Called
1177,201T,"2020-08-10 20:08:15",Called
1178,201A,"2020-08-10 20:08:43",Called
1179,201T,"2020-08-10 20:15:27",Attended
1180,201T,"2020-08-10 20:15:31",Called
1181,201T,"2020-08-10 20:15:32",Called
1182,201A,"2020-08-10 20:15:41",Called
1183,201T,"2020-08-10 20:16:04",Attended
1184,201A,"2020-08-10 20:16:10",Called
1185,201A,"2020-08-10 20:16:14",Called
1186,201A,"2020-08-10 20:16:17",Attended
1187,201A,"2020-08-10 20:16:22",Called
1188,201T,"2020-08-10 20:16:33",Called
1189,201T,"2020-08-10 20:17:33",Attended
1190,201T,"2020-08-10 20:17:36",Called
1191,201T,"2020-08-10 20:26:12",Attended
