id,SwitchID,Date_n_Time,Status
1,209A,"2021-03-24 20:47:14",Called
2,208B,"2021-03-24 20:47:16",Called
3,209A,"2021-03-24 20:47:50",Attended
4,208B,"2021-03-24 20:52:57",Called
5,208B,"2021-03-24 20:52:58",Attended
6,208B,"2021-03-24 20:52:59",Called
7,211A,"2021-03-24 20:53:02",Called
8,212B,"2021-03-24 20:53:04",Called
9,215A,"2021-03-24 20:53:05",Called
10,209B,"2021-03-24 20:53:07",Called
11,209B,"2021-03-24 20:53:29",Attended
12,211A,"2021-03-24 20:53:54",Attended
13,212B,"2021-03-24 20:54:06",Attended
14,215A,"2021-03-24 20:54:06",Attended
15,208B,"2021-03-24 20:54:08",Attended
16,209B,"2021-03-24 20:56:20",Called
17,209B,"2021-03-24 20:57:15",Called
18,209B,"2021-03-24 20:57:16",Called
19,209B,"2021-03-24 20:57:21",Attended
20,209A,"2021-03-25 11:15:55",Called
21,209A,"2021-03-25 11:15:56",Attended
22,211A,"2021-03-25 11:16:48",Called
23,211A,"2021-03-25 11:16:50",Attended
24,211A,"2021-03-25 11:16:51",Called
25,211A,"2021-03-25 11:16:52",Attended
26,211A,"2021-03-25 11:18:30",Attended
27,209A,"2021-03-25 11:18:30",Attended
28,211A,"2021-03-25 11:21:29",Attended
29,209A,"2021-03-25 11:21:30",Attended
30,202A,"2021-03-25 11:22:02",Called
31,202A,"2021-03-25 11:22:23",Attended
32,202A,"2021-03-25 11:22:24",Called
33,201A,"2021-03-25 11:22:26",Called
34,203A,"2021-03-25 11:22:27",Called
35,211B,"2021-03-25 11:22:29",Called
36,209A,"2021-03-25 11:22:30",Called
37,202A,"2021-03-25 11:22:35",Attended
38,202A,"2021-03-25 11:22:39",Called
39,203A,"2021-03-25 11:22:44",Attended
40,211B,"2021-03-25 11:22:47",Attended
41,209A,"2021-03-25 11:22:49",Attended
42,201A,"2021-03-25 11:23:01",Attended
43,202A,"2021-03-25 11:23:01",Attended
44,201A,"2021-03-25 11:23:04",Called
45,202A,"2021-03-25 11:23:05",Called
46,203A,"2021-03-25 11:23:06",Called
47,204A,"2021-03-25 11:23:09",Called
48,202A,"2021-03-25 11:23:16",Attended
49,202A,"2021-03-25 11:23:20",Called
50,202A,"2021-03-25 11:23:22",Attended
51,202A,"2021-03-25 11:23:25",Called
52,202A,"2021-03-25 11:23:26",Attended
53,203A,"2021-03-25 11:23:29",Attended
54,201A,"2021-03-25 11:24:49",Attended
55,204A,"2021-03-25 11:24:51",Attended
56,205B,"2021-03-25 11:25:06",Called
57,205B,"2021-03-25 11:25:07",Attended
58,205B,"2021-03-25 11:25:08",Called
59,205B,"2021-03-25 11:25:09",Attended
60,201A,"2021-03-25 11:25:11",Called
61,202A,"2021-03-25 11:25:12",Called
62,203A,"2021-03-25 11:25:13",Called
63,204A,"2021-03-25 11:25:16",Called
64,205B,"2021-03-25 11:25:23",Called
65,203A,"2021-03-25 11:25:25",Attended
66,204A,"2021-03-25 11:25:31",Attended
67,205B,"2021-03-25 11:25:50",Attended
68,201A,"2021-03-25 11:25:51",Attended
69,202A,"2021-03-25 11:25:52",Attended
70,201A,"2021-03-25 11:25:55",Called
71,202A,"2021-03-25 11:25:56",Called
72,201A,"2021-03-25 11:25:58",Attended
73,201A,"2021-03-25 11:26:00",Called
74,203A,"2021-03-25 11:26:02",Called
75,204A,"2021-03-25 11:26:07",Called
76,201A,"2021-03-25 11:26:10",Attended
77,204A,"2021-03-25 11:26:12",Attended
78,202A,"2021-03-25 11:26:23",Attended
79,203A,"2021-03-25 11:26:27",Attended
80,201A,"2021-03-25 11:26:50",Called
81,202A,"2021-03-25 11:26:51",Called
82,203A,"2021-03-25 11:26:53",Called
